Primary Care Physicians per 100000 Population-Density; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Primary Care Physicians per 100000 Population
2018,17047,Edwards County,Illinois,6.6,No Data
2018,18139,Rush County,Indiana,6.6,36.186
2018,19015,Boone County,Iowa,6.6,49.55401
2018,20187,Stanton County,Kansas,6.6,No Data
2018,26007,Alpena County,Michigan,6.6,63.369130000000006
2018,26107,Mecosta County,Michigan,6.6,52.930749999999996
2018,27053,Hennepin County,Minnesota,6.6,122.52704
2018,29139,Montgomery County,Missouri,6.6,17.314519999999998
2018,29203,Shannon County,Missouri,6.6,No Data
2018,30043,Jefferson County,Montana,6.6,73.64373
2018,30107,Wheatland County,Montana,6.6,No Data
2018,31117,Mcpherson County,Nebraska,6.6,No Data
2018,35003,Catron County,New Mexico,6.6,28.35271
2018,36061,New York County,New York,6.6,138.51487
2018,37129,New Hanover County,North Carolina,6.6,92.12148
2018,38089,Stark County,North Dakota,6.6,60.33853
2018,40059,Harper County,Oklahoma,6.6,No Data
2018,41023,Grant County,Oregon,6.6,83.34491
2018,46063,Harding County,South Dakota,6.6,No Data
2018,46081,Lawrence County,South Dakota,6.6,88.99551000000001
2018,46117,Stanley County,South Dakota,6.6,129.11556
2018,48023,Baylor County,Texas,6.6,142.49074
2018,48493,Wilson County,Texas,6.6,43.078129999999994
2018,49017,Garfield County,Utah,6.6,39.596120000000006
2018,50001,Addison County,Vermont,6.6,114.20181000000001
2018,51017,Bath County,Virginia,6.6,No Data
2018,53037,Kittitas County,Washington,6.6,58.41243
2018,54017,Doddridge County,West Virginia,6.6,11.837119999999999
2018,55043,Grant County,Wisconsin,6.6,34.9929
2018,56033,Sheridan County,Wyoming,6.6,68.88634
2018,06109,Tuolumne County,California,6.7,69.75293
2018,08061,Kiowa County,Colorado,6.7,No Data
2018,08079,Mineral County,Colorado,6.7,130.03901
2018,08091,Ouray County,Colorado,6.7,121.16317
2018,13219,Oconee County,Georgia,6.7,121.64846000000001
2018,16033,Clark County,Idaho,6.7,No Data
2018,17015,Carroll County,Illinois,6.7,20.97169
2018,17017,Cass County,Illinois,6.7,No Data
2018,17037,Dekalb County,Illinois,6.7,27.64617
2018,17053,Ford County,Illinois,6.7,77.15454
2018,17135,Montgomery County,Illinois,6.7,42.2327
2018,18001,Adams County,Indiana,6.7,39.13129
2018,19107,Keokuk County,Iowa,6.7,9.759910000000001
2018,20071,Greeley County,Kansas,6.7,81.16883
2018,21023,Bracken County,Kentucky,6.7,24.08768
2018,21167,Mercer County,Kentucky,6.7,22.7967
2018,21201,Robertson County,Kentucky,6.7,No Data
2018,25011,Franklin County,Massachusetts,6.7,65.54574000000001
2018,26087,Lapeer County,Michigan,6.7,35.3853
2018,29035,Carter County,Missouri,6.7,16.71682
2018,29061,Daviess County,Missouri,6.7,12.080210000000001
2018,29085,Hickory County,Missouri,6.7,10.47779
2018,29129,Mercer County,Missouri,6.7,27.64722
2018,29161,Phelps County,Missouri,6.7,80.76638
2018,30001,Beaverhead County,Montana,6.7,158.67978000000002
2018,30059,Meagher County,Montana,6.7,107.41138999999998
