Access to Exercise Opportunities-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities
2018,37043,Clay County,North Carolina,6.7,97.591385662
2018,38027,Eddy County,North Dakota,6.7,61.80293501
2018,38087,Slope County,North Dakota,6.7,3.5763411279
2018,41027,Hood River County,Oregon,6.7,70.012530207
2018,42013,Blair County,Pennsylvania,6.7,77.861183895
2018,42123,Warren County,Pennsylvania,6.7,78.060504604
2018,46105,Perkins County,South Dakota,6.7,48.926894702
2018,48069,Castro County,Texas,6.7,45.398164227
2018,48171,Gillespie County,Texas,6.7,65.796996417
2018,48275,Knox County,Texas,6.7,39.123420274
2018,48329,Midland County,Texas,6.7,85.021772167
2018,48393,Roberts County,Texas,6.7,1.9375672766
2018,48459,Upshur County,Texas,6.7,29.649698542
2018,48463,Uvalde County,Texas,6.7,72.016663511
2018,48507,Zavala County,Texas,6.7,No Data
2018,51063,Floyd County,Virginia,6.7,21.343019831
2018,51133,Northumberland County,Virginia,6.7,32.716950527
2018,55091,Pepin County,Wisconsin,6.7,47.302182354
2018,55097,Portage County,Wisconsin,6.7,66.461960325
2018,56011,Crook County,Wyoming,6.7,64.054779048
2018,56027,Niobrara County,Wyoming,6.7,70.169082126
2018,02068,Denali Borough,Alaska,6.8,44.359255203
2018,05013,Calhoun County,Arkansas,6.8,4.3219076006
2018,06051,Mono County,California,6.8,71.722292635
2018,06083,Santa Barbara County,California,6.8,93.38350299
2018,08019,Clear Creek County,Colorado,6.8,67.682658451
2018,08065,Lake County,Colorado,6.8,86.10123119
2018,08073,Lincoln County,Colorado,6.8,53.502835193
2018,08085,Montrose County,Colorado,6.8,64.49752883
2018,08115,Sedgwick County,Colorado,6.8,No Data
2018,08125,Yuma County,Colorado,6.8,67.151249627
2018,12109,St. Johns County,Florida,6.8,90.932387563
2018,13113,Fayette County,Georgia,6.8,87.318775981
2018,16017,Bonner County,Idaho,6.8,55.715928273
2018,17059,Gallatin County,Illinois,6.8,36.536052961
2018,17061,Greene County,Illinois,6.8,40.825291661
2018,17065,Hamilton County,Illinois,6.8,35.343502424
2018,17067,Hancock County,Illinois,6.8,45.603015075
2018,17069,Hardin County,Illinois,6.8,71.828703704
2018,17079,Jasper County,Illinois,6.8,33.254279233
2018,17103,Lee County,Illinois,6.8,65.39091338
2018,17131,Mercer County,Illinois,6.8,23.743458683
2018,17157,Randolph County,Illinois,6.8,59.054247819
2018,17203,Woodford County,Illinois,6.8,57.76691496
2018,18037,Dubois County,Indiana,6.8,70.171166655
2018,19009,Audubon County,Iowa,6.8,59.388789018
2018,19079,Hamilton County,Iowa,6.8,70.490652715
2018,19159,Ringgold County,Iowa,6.8,43.110504775
2018,21213,Simpson County,Kentucky,6.8,68.932879321
2018,24027,Howard County,Maryland,6.8,95.801940192
2018,26083,Keweenaw County,Michigan,6.8,4.0816326531
2018,27051,Grant County,Minnesota,6.8,40.262545696
2018,27141,Sherburne County,Minnesota,6.8,75.068644843
2018,29089,Howard County,Missouri,6.8,10.922712934
2018,29131,Miller County,Missouri,6.8,26.082915791
2018,30007,Broadwater County,Montana,6.8,44.672131148
2018,30037,Golden Valley County,Montana,6.8,1.2443438914
2018,30101,Toole County,Montana,6.8,66.52892562
2018,31005,Arthur County,Nebraska,6.8,No Data
2018,31091,Hooker County,Nebraska,6.8,6.9293478261
2018,31143,Polk County,Nebraska,6.8,42.267850536
2018,31159,Seward County,Nebraska,6.8,54.985074627
2018,37115,Madison County,North Carolina,6.8,80.894817954
2018,41055,Sherman County,Oregon,6.8,4.3059490085
2018,42091,Montgomery County,Pennsylvania,6.8,90.327601597
2018,44005,Newport County,Rhode Island,6.8,75.330566548
2018,44009,Washington County,Rhode Island,6.8,83.316138889
2018,46061,Hanson County,South Dakota,6.8,15.821074752
2018,46097,Miner County,South Dakota,6.8,48.59773964
