Limited Access To Healthy Foods-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Limited Access To Healthy Foods
2018,48383,Reagan County,Texas,6.8,1.5026969807
2018,48385,Real County,Texas,6.8,48.504429665
2018,48411,San Saba County,Texas,6.8,13.728380773
2018,48435,Sutton County,Texas,6.8,5.7783434243
2018,48461,Upton County,Texas,6.8,8.5644178762
2018,48465,Val Verde County,Texas,6.8,21.594162259
2018,48505,Zapata County,Texas,6.8,8.4227541159
2018,55037,Florence County,Wisconsin,6.8,5.0069264224
2018,55047,Green Lake County,Wisconsin,6.8,2.8098972931
2018,55051,Iron County,Wisconsin,6.8,3.0561181211
2018,55099,Price County,Wisconsin,6.8,5.0190191485
2018,55129,Washburn County,Wisconsin,6.8,4.5627281163
2018,56035,Sublette County,Wyoming,6.8,4.2679117631
2018,04005,Coconino County,Arizona,6.9,13.317311456
2018,06063,Plumas County,California,6.9,1.0710775193
2018,06091,Sierra County,California,6.9,24.821463632
2018,06105,Trinity County,California,6.9,7.665813895
2018,08029,Delta County,Colorado,6.9,3.5130034248
2018,08033,Dolores County,Colorado,6.9,37.309712791
2018,08053,Hinsdale County,Colorado,6.9,4.0907429836
2018,08063,Kit Carson County,Colorado,6.9,9.338723749
2018,08095,Phillips County,Colorado,6.9,1.6336493915
2018,12085,Martin County,Florida,6.9,10.240758871
2018,13023,Bleckley County,Georgia,6.9,18.384890589
2018,16001,Ada County,Idaho,6.9,6.2386902184
2018,17007,Boone County,Illinois,6.9,7.4435406746
2018,17013,Calhoun County,Illinois,6.9,5.2582062752
2018,17155,Putnam County,Illinois,6.9,0.0477080038
2018,17165,Saline County,Illinois,6.9,6.4578285093
2018,17169,Schuyler County,Illinois,6.9,6.2275330659
2018,17185,Wabash County,Illinois,6.9,3.326522179
2018,17189,Washington County,Illinois,6.9,3.5827850398
2018,18013,Brown County,Indiana,6.9,1.0610946175
2018,19061,Dubuque County,Iowa,6.9,5.6440551971
2018,19077,Guthrie County,Iowa,6.9,3.1596921126
2018,19089,Howard County,Iowa,6.9,10.175889877
2018,19121,Madison County,Iowa,6.9,4.0050025828
2018,19149,Plymouth County,Iowa,6.9,3.1826978731
2018,20151,Pratt County,Kansas,6.9,9.693501293
2018,20179,Sheridan County,Kansas,6.9,12.011201486
2018,20199,Wallace County,Kansas,6.9,8.4551141219
2018,23005,Cumberland County,Maine,6.9,3.5127265914
2018,23023,Sagadahoc County,Maine,6.9,2.8451971636
2018,25001,Barnstable County,Massachusetts,6.9,9.1467361409
2018,26135,Oscoda County,Michigan,6.9,0.5588271337
2018,27019,Carver County,Minnesota,6.9,3.768171879
2018,27035,Crow Wing County,Minnesota,6.9,3.7304277678
2018,27049,Goodhue County,Minnesota,6.9,3.0056785345
2018,27067,Kandiyohi County,Minnesota,6.9,13.199515991
2018,27101,Murray County,Minnesota,6.9,3.7542586594
2018,27117,Pipestone County,Minnesota,6.9,9.2178893352
2018,27145,Stearns County,Minnesota,6.9,7.3512209832
2018,29003,Andrew County,Missouri,6.9,4.6210286664
2018,29059,Dallas County,Missouri,6.9,14.128512802
2018,29171,Putnam County,Missouri,6.9,10.209789813
2018,30069,Petroleum County,Montana,6.9,29.594272276
2018,30079,Prairie County,Montana,6.9,34.759358266
2018,30081,Ravalli County,Montana,6.9,0.8928189552
2018,30091,Sheridan County,Montana,6.9,11.810430748
2018,30099,Teton County,Montana,6.9,18.296656538
2018,31021,Burt County,Nebraska,6.9,0.2164701595
2018,31129,Nuckolls County,Nebraska,6.9,13.555565367
2018,32009,Esmeralda County,Nevada,6.9,43.740142716
2018,35021,Harding County,New Mexico,6.9,48.148148241
2018,37005,Alleghany County,North Carolina,6.9,1.9906552446
2018,37021,Buncombe County,North Carolina,6.9,9.8158863085
2018,37135,Orange County,North Carolina,6.9,2.1777182446
2018,38019,Cavalier County,North Dakota,6.9,8.248739338
2018,39077,Huron County,Ohio,6.9,4.6863671581
2018,39137,Putnam County,Ohio,6.9,4.8705353839
2018,40045,Ellis County,Oklahoma,6.9,13.647680722
2018,41017,Deschutes County,Oregon,6.9,5.1341378502
2018,41057,Tillamook County,Oregon,6.9,0.8077503542
2018,41069,Wheeler County,Oregon,6.9,51.060387645
2018,42023,Cameron County,Pennsylvania,6.9,3.0242296393
2018,42029,Chester County,Pennsylvania,6.9,6.1927714754
2018,42103,Pike County,Pennsylvania,6.9,2.6694983336
2018,46005,Beadle County,South Dakota,6.9,6.3690838927
2018,46037,Day County,South Dakota,6.9,18.586414661
2018,46059,Hand County,South Dakota,6.9,9.1139948666
2018,46075,Jones County,South Dakota,6.9,40.134244454
2018,47021,Cheatham County,Tennessee,6.9,1.4028548055
2018,47083,Houston County,Tennessee,6.9,0.752506531
2018,48019,Bandera County,Texas,6.9,10.238088238
2018,48035,Bosque County,Texas,6.9,9.7418734429
2018,48043,Brewster County,Texas,6.9,16.324018469
2018,48047,Brooks County,Texas,6.9,10.154307822
2018,48053,Burnet County,Texas,6.9,6.7961284317
2018,48065,Carson County,Texas,6.9,5.2701291699
2018,48093,Comanche County,Texas,6.9,7.935527217
2018,48115,Dawson County,Texas,6.9,18.787279674
2018,48127,Dimmit County,Texas,6.9,26.666988109
2018,48133,Eastland County,Texas,6.9,10.886806211
2018,48147,Fannin County,Texas,6.9,12.997029555
2018,48165,Gaines County,Texas,6.9,1.3771733158
2018,48173,Glasscock County,Texas,6.9,36.445793634
2018,48189,Hale County,Texas,6.9,8.1452228936
2018,48193,Hamilton County,Texas,6.9,12.225906697
2018,48205,Hartley County,Texas,6.9,11.53906611
2018,48229,Hudspeth County,Texas,6.9,58.197021644
2018,48235,Irion County,Texas,6.9,26.405268042
2018,48261,Kenedy County,Texas,6.9,37.480808227
2018,48271,Kinney County,Texas,6.9,25.618481576
2018,48273,Kleberg County,Texas,6.9,17.355734775
2018,48293,Limestone County,Texas,6.9,8.7023677936
2018,48295,Lipscomb County,Texas,6.9,31.552058685
2018,48297,Live Oak County,Texas,6.9,3.5772573772
2018,48305,Lynn County,Texas,6.9,15.085616873
2018,48317,Martin County,Texas,6.9,6.7659560688
2018,48353,Nolan County,Texas,6.9,7.0924861674
2018,48397,Rockwall County,Texas,6.9,3.2371832129
2018,48399,Runnels County,Texas,6.9,15.985387453
2018,48413,Schleicher County,Texas,6.9,2.9665759579
2018,48417,Shackelford County,Texas,6.9,5.3826419328
2018,48425,Somervell County,Texas,6.9,No Data
2018,48443,Terrell County,Texas,6.9,41.531322382
2018,48447,Throckmorton County,Texas,6.9,32.190611012
2018,48449,Titus County,Texas,6.9,14.059167059
2018,48483,Wheeler County,Texas,6.9,3.1033145891
2018,48495,Winkler County,Texas,6.9,1.4399815679
2018,48499,Wood County,Texas,6.9,8.849882745
2018,49031,Piute County,Utah,6.9,47.834545261
2018,51840,Winchester City,Virginia,6.9,4.3648085751
2018,53065,Stevens County,Washington,6.9,12.503259957
2018,55015,Calumet County,Wisconsin,6.9,3.6404442996
2018,55019,Clark County,Wisconsin,6.9,6.850128581
2018,55109,St. Croix County,Wisconsin,6.9,2.3655067725
2018,55117,Sheboygan County,Wisconsin,6.9,2.2316647551
2018,02150,Kodiak Island Borough,Alaska,7,11.480081148
2018,06021,Glenn County,California,7,8.7453033087
2018,08055,Huerfano County,Colorado,7,11.972298402
2018,08087,Morgan County,Colorado,7,5.3103090173
2018,08111,San Juan County,Colorado,7,29.006630196
2018,12021,Collier County,Florida,7,7.0185354592
2018,13125,Glascock County,Georgia,7,27.729183631
2018,13201,Miller County,Georgia,7,0.1281491602
2018,13291,Union County,Georgia,7,1.6825366357
2018,16041,Franklin County,Idaho,7,1.304773801
2018,16043,Fremont County,Idaho,7,14.755286434
2018,16053,Jerome County,Idaho,7,11.808051641
2018,16057,Latah County,Idaho,7,4.6064659277
