Severe Housing Cost Burden-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Severe Housing Cost Burden
2018,18001,Adams County,Indiana,6.7,8.8404605263
2018,19107,Keokuk County,Iowa,6.7,11.316674676
2018,20071,Greeley County,Kansas,6.7,5.8558558559
2018,21023,Bracken County,Kentucky,6.7,11.22311828
2018,21167,Mercer County,Kentucky,6.7,8.8042970574
2018,21201,Robertson County,Kentucky,6.7,13.358302122
2018,25011,Franklin County,Massachusetts,6.7,15.679558379
2018,26087,Lapeer County,Michigan,6.7,10.158587672
2018,29035,Carter County,Missouri,6.7,5.2728106373
2018,29061,Daviess County,Missouri,6.7,8.8912133891
2018,29085,Hickory County,Missouri,6.7,15.239069292
2018,29129,Mercer County,Missouri,6.7,6.298600311
2018,29161,Phelps County,Missouri,6.7,12.728842832
2018,30001,Beaverhead County,Montana,6.7,16.175359033
2018,30059,Meagher County,Montana,6.7,11.111111111
2018,31045,Dawes County,Nebraska,6.7,11.150234742
2018,31101,Keith County,Nebraska,6.7,10.152008686
2018,32027,Pershing County,Nevada,6.7,6.940874036
2018,37043,Clay County,North Carolina,6.7,14.93360572
2018,38027,Eddy County,North Dakota,6.7,9.0373280943
2018,38087,Slope County,North Dakota,6.7,3.1948881789
2018,41027,Hood River County,Oregon,6.7,8.9833116345
2018,42013,Blair County,Pennsylvania,6.7,11.055125667
2018,42123,Warren County,Pennsylvania,6.7,7.6815896286
2018,46105,Perkins County,South Dakota,6.7,8.3125519534
2018,48069,Castro County,Texas,6.7,10.620220901
2018,48171,Gillespie County,Texas,6.7,10.867659947
2018,48275,Knox County,Texas,6.7,4.3209876543
2018,48329,Midland County,Texas,6.7,10.899442823
2018,48393,Roberts County,Texas,6.7,1.3377926421
2018,48459,Upshur County,Texas,6.7,10.677373782
2018,48463,Uvalde County,Texas,6.7,8.5805084746
2018,48507,Zavala County,Texas,6.7,9.9801531046
2018,51063,Floyd County,Virginia,6.7,11.688107939
